Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,8.100000381,8.399999619,8.600000381,8.399999619,9.800000191,10.89999962,11.5,11.10000038,9.600000381,10.10000038,10.5,11.5,10.69999981,10.30000019,10.5,10.10000038,10.30000019,11.89999962,11.69999981,10.89999962,11.30000019,11.39999962,11.39999962,10.39999962,10.89999962,11.30000019,11.30000019
Cambodia,3.200000048,3.299999952,3.400000095,3.299999952,3.5,3.700000048,3.900000095,5,6.5,9.800000191,12.19999981,13.60000038,14.89999962,15.39999962,15,15.89999962,15.69999981,14.69999981,14.89999962,15.5,19.29999924,19.20000076,19.20000076,18.79999924,18.70000076,18.5,18.29999924
Indonesia,12.5,12.10000038,14.19999981,16.10000038,16.29999924,16,16.79999924,14.19999981,14.69999981,15,16.20000076,15.89999962,15.30000019,13.69999981,14.60000038,14.5,14.19999981,14.5,14.10000038,14,15.5,16,15,14.19999981,15.89999962,15.80000019,15.69999981
Lao PDR,2.799999952,2.900000095,2.799999952,2.700000048,2.799999952,3.099999905,3.099999905,3.200000048,3.299999952,2,2,2.400000095,2.400000095,2.400000095,2.5,2.400000095,2.400000095,2.400000095,2.400000095,2.299999952,2.299999952,2.5,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952
Malaysia,28.39999962,31.70000076,31.20000076,31.10000038,30.39999962,29.10000038,29.60000038,28.60000038,29,28.79999924,29.60000038,27.29999924,26.89999962,24.79999924,24.39999962,24.70000076,22.89999962,22.70000076,19.89999962,20.60000038,21.60000038,21,20,19.5,19.39999962,19.20000076,18.79999924
Myanmar,9.5,9.199999809,9.399999619,9.399999619,10.19999981,10.89999962,11.60000038,12,11.5,11.30000019,11.30000019,11.69999981,11.69999981,12.30000019,12.5,12.69999981,12.69999981,13.60000038,14.10000038,14.80000019,14.80000019,11.19999981,11.19999981,11.30000019,11.69999981,12,12.19999981
Philippines,12.80000019,12.5,12,12.60000038,12.30000019,11.60000038,12.19999981,12.30000019,12.39999962,13,12.60000038,11.80000019,12.10000038,12.10000038,12,11.60000038,11.19999981,10.60000038,9.899999619,9.899999619,9.899999619,9.899999619,10.10000038,10.10000038,10,9.899999619,9.699999809
Singapore,33.40000153,32.40000153,31,28.79999924,25.20000076,26.60000038,26.20000076,26.79999924,26.20000076,25.5,21.5,21.5,21.39999962,20.10000038,17.60000038,17.5,17.79999924,16.70000076,16.20000076,16,15.10000038,15,14.5,13.19999981,12,12,12
Thailand,13.69999981,13.30000019,15.10000038,15.39999962,17,17.20000076,16.60000038,15.80000019,16.89999962,17.10000038,18.5,19,18.79999924,19.29999924,18.60000038,19,19.39999962,18.20000076,18.79999924,18.20000076,17.89999962,17.89999962,17.70000076,19.79999924,19.20000076,19.10000038,19.29999924
Vietnam,7.800000191,8.5,9.199999809,8.800000191,8.800000191,8.800000191,10.39999962,9,9.800000191,10.10000038,11.10000038,11.69999981,13,13.69999981,14.80000019,16.39999962,17,16.70000076,17,17,16.79999924,16.60000038,17,17.5,18.29999924,18.5,18.60000038
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
